source,id,issue,solution
GH Issue,h2oai/h2ogpt-1491,"Outdated third-party dependency/package contains vulnerabilities, System/software arbitrary code execution, Insecure communication due to missing certificates or protocols, System/software arbitrary code execution, System/software Request Forgery","Dependency Version Upgrade, Adoption/Enhancment of Security Scanning & Testing Tools"
GH Issue,huggingface/autotrain-advanced-848,"Model input manipulations and evasions, Harmful/Undesired model output	","Input Validation and Sanitization, Implementation of Content Safety Filters/Checkers, Secure Prompt Formatting Techniques"
GH Issue,huggingface/transformers-21973,,Adoption of vulnerability disclosure and reporting process
GH Issue,huggingface/transformers-29256,,Adoption of vulnerability disclosure and reporting process
GH Issue,jantic/DeOldify-436,"Outdated third-party dependency/package contains vulnerabilities, Unsafe memory usage",Dependency Version Upgrade
GH Issue,jmorganca/ollama-5757,"Outdated third-party dependency/package contains vulnerabilities,System resource exhaustions",Dependency Version Upgrade
GH Issue,jmorganca/ollama-5774,Outdated third-party dependency/package contains vulnerabilities,
GH Issue,jmorganca/ollama-8020,"Outdated third-party dependency/package contains vulnerabilities, System resource exhaustions, Exposed system details and information in APIs",
GH Issue,jmorganca/ollama-8724,"Outdated third-party dependency/package contains vulnerabilities, ",Dependency Version Upgrade
GH Issue,keras-team/keras-19213,,Adoption of vulnerability disclosure and reporting process
GH Issue,keras-team/keras-cv-2141,,Adoption of vulnerability disclosure and reporting process
GH Issue,keras-team/keras-cv-2142,,Adoption of vulnerability disclosure and reporting process
GH Issue,keras-team/keras-tuner-979,,Adoption of vulnerability disclosure and reporting process
GH Issue,langchain-ai/langchain-4974,"Outdated third-party dependency/package contains vulnerabilities, System resource exhaustions, ",Component Removal/Replacement
GH Issue,langchain-ai/langchain-5294,"System/software arbitrary code execution, Risk of malicious codes in dependencies/plugins, Model input manipulations and evasions, ",
GH Issue,langchain-ai/langchain-7736,"Outdated third-party dependency/package contains vulnerabilities,
System/software arbitrary code execution, Unsafe OS command execution and environment variable handling, ",
GH Issue,langchain-ai/langchain-19660,"Outdated third-party dependency/package contains vulnerabilities, System resource exhaustions",Dependency Version Upgrade
GH Issue,langchain-ai/langchain-21464,"Outdated third-party dependency/package contains vulnerabilities, System resource exhaustions",
GH Issue,langchain-ai/langchain-21592,"System/software arbitrary code execution, Model input manipulations and evasions",
GH Issue,liujing04/Retrieval-based-Voice-Conversion-WebUI-2447,,Adoption of vulnerability disclosure and reporting process
GH Issue,matterport/Mask_RCNN-2905,"Outdated third-party dependency/package contains vulnerabilities,  System resource exhaustions",Dependency Version Upgrade
GH Issue,matterport/Mask_RCNN-2913,Outdated third-party dependency/package contains vulnerabilities,Dependency Version Upgrade
GH Issue,meta-llama/llama-stack-41,,Adoption of vulnerability disclosure and reporting process
GH Issue,microsoft/botframework-cli-1369,"Outdated third-party dependency/package contains vulnerabilities, Risk of malicious codes in dependencies/plugins",Dependency Version Upgrade
GH Issue,microsoft/botframework-cli-1388,"Outdated third-party dependency/package contains vulnerabilities, System resource exhaustions",Dependency Version Upgrade
GH Issue,microsoft/onnxruntime-10733,Outdated third-party dependency/package contains vulnerabilities,
GH Issue,microsoft/onnxruntime-23361,"Outdated third-party dependency/package contains vulnerabilities, Security risk from deficient data quality",
GH Issue,microsoft/unilm-950,"Outdated third-party dependency/package contains vulnerabilities, System/software arbitrary code execution, System/software Cross-Site Scripting ",Dependency Version Upgrade
GH Issue,microsoft/unilm-985,Outdated third-party dependency/package contains vulnerabilities,Dependency Version Upgrade
GH Issue,mudler/LocalAI-2538,"Outdated third-party dependency/package contains vulnerabilities,",Dependency Version Upgrade
GH Issue,ollama/ollama-5757,"Outdated third-party dependency/package contains vulnerabilities, System resource exhaustions",Dependency Version Upgrade
GH Issue,ollama/ollama-5774,"Outdated third-party dependency/package contains vulnerabilities,  System resource exhaustions, ",
GH Issue,ollama/ollama-8020,"Outdated third-party dependency/package contains vulnerabilities, System resource exhaustions, Exposed system details and information in APIs",
GH Issue,ollama/ollama-8724,Outdated third-party dependency/package contains vulnerabilities,
